index	u_check
0	1.6722992613612389
1	-1.1520953475076086
2	-1.235182582705723
3	-0.28850350316774376
4	0.3692015728992637
5	0.4305984865780412
6	0.1886436089056575
7	-0.02480316949907163
8	-0.08902455795003786
9	-0.05238364157697452
10	-0.0007812574431824218
11	0.021550489733583936
12	0.01662004553868012
13	0.0037058434807924496
14	-0.003907035561686036
15	-0.004320374934108412
16	-0.0015605541855284455
17	0.0006237459494981366
18	0.001102207421458505
19	0.0005625648332771737
20	-3.136392840477414e-05
21	-0.0002504604179947321
22	-0.0001709926280874499
23	-2.3761285331546468e-05
24	5.2173939116465626e-05
25	4.815984059619883e-05
26	1.4301033358401832e-05
27	-9.017917794329213e-06
28	-1.2437705134020643e-05
29	-5.4850892280274884e-06
30	1.019967346423566e-06
31	2.9818590679718374e-06
32	1.7817385636834174e-06
33	1.0044169668012508e-07
34	-6.498690774505572e-07
35	-5.191190164200849e-07
36	-1.1800736165218182e-07
37	1.2412428351772708e-07
38	1.393579088287512e-07
39	5.216383114678497e-08
40	-1.8224839536797685e-08
41	-3.4613328560342006e-08
42	-1.8074770105206506e-08
43	7.604670772835953e-10
44	7.90565796470255e-09
45	5.511369629640124e-09
46	8.448446168152492e-10
47	-1.6177261478688266e-09
48	-1.5342898417608225e-09
49	-4.7211402885718e-10
50	2.759533926963299e-10
51	3.9502554555578073e-10
52	1.786785491601182e-10
53	-2.898858627763934e-11
54	-9.395415897525308e-11
55	-5.738883809471618e-11
56	-4.067963119767977e-12
57	2.032744851084258e-11
58	1.6618453414915432e-11
59	3.973796758942185e-12
60	-3.828014934287595e-12
61	-4.433119235082037e-12
62	-1.7080290764320623e-12
63	5.441108510348323e-13
64	1.0947050731094685e-12
65	5.8481011880227e-13
66	-1.4334687616800972e-14
67	-2.482139869870933e-13
68	-1.7691160268447181e-13
69	-2.9372109380256766e-14
70	5.0271084624375875e-14
71	4.8946509116839873e-14
72	1.5605169018610644e-14
73	-8.402702707124459e-15
74	-1.2527915837641037e-14
75	-5.8083801940330245e-15
76	8.150398247752133e-16
77	2.9605048688544633e-15
78	1.848323859337847e-15
79	1.576323291792519e-16
80	-6.350895329020819e-16
81	-5.316181701284923e-16
82	-1.3328773819225895e-16
83	1.1791663745125778e-16
84	1.4097794248153353e-16
85	5.586899311923714e-17
86	-1.616077814796307e-17
87	-3.4602277306934115e-17
88	-1.8906901684521608e-17
89	1.425952744650518e-19
90	7.788549643246406e-18
91	5.676043776684594e-18
92	1.0135629411501534e-18
93	-1.5604924307210005e-18
94	-1.5607486224712384e-18
95	-5.148676834260385e-19
96	2.552224041729253e-19
97	3.971337063681513e-19
98	1.8865328245171388e-19
99	-2.250297494725961e-20
